Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  T         90.00 Comment        
Hole2      Hole_Hole_1(Primary)   3691.638mil   1424.866mil   3691.638mil   1424.866mil   3691.638mil   1424.866mil  T          0.00                
Hole3      Hole_Hole_2(Primary)   3077.638mil    361.866mil   3077.638mil    361.866mil   3077.638mil    361.866mil  T          0.00                
Pad9       PAD               2595.638mil   1201.866mil   2595.638mil   1201.866mil   2595.638mil   1201.866mil  T          0.00                
Pad10      PAD               3561.638mil   1201.866mil   3561.638mil   1201.866mil   3561.638mil   1201.866mil  T          0.00                
Pad11      PAD_0.1-HOTEND    3077.638mil   1070.866mil   3077.638mil   1070.866mil   3077.638mil   1070.866mil  T          0.00                
Pad12      Pad_0.1_-_oct     2933.638mil    349.866mil   2933.638mil    349.866mil   2933.638mil    349.866mil  T          0.00                
Pad13      PAD               3221.638mil    349.866mil   3221.638mil    349.866mil   3221.638mil    349.866mil  T          0.00                
LED4       LED1206            3807.52mil      530.4mil    3807.52mil      530.4mil   3776.024mil    475.847mil  T        240.00 APT3216SURCK   
LED3       LED1206            2352.52mil      531.4mil    2352.52mil      531.4mil   2384.016mil    476.847mil  T        300.00 APT3216SURCK   
LED2       LED1206            3910.52mil      708.4mil    3910.52mil      708.4mil   3879.024mil    653.847mil  T        240.00 APT3216VBC/D   
LED1       LED1206            2250.52mil      711.4mil    2250.52mil      711.4mil   2282.016mil    656.847mil  T        300.00 APT3216VBC/D   
J3         1778612           3650.701mil    734.292mil   3650.701mil    734.292mil   3478.457mil    435.957mil  T         60.00 1778612        
U2         SOT89-150P347X160-3L   2886.528mil   1678.508mil   2827.472mil   1678.508mil   2884.559mil   1619.453mil  T        180.00 L78L05ABUTR    
C3         C0603             2970.984mil   1618.937mil   2970.984mil   1618.937mil   2944.213mil   1618.937mil  T        360.00 100nF          
C1         C0805             2984.984mil   1766.638mil   2984.984mil   1766.937mil   2984.984mil   1804.339mil  T        270.00 10uF           
FID2       FIDUCIAL-2X3-PANEL   3799.984mil   1295.937mil   3799.984mil   1295.937mil   3799.984mil   1295.937mil  T         45.00 FIDUCIAL       
FID1       FIDUCIAL-2X3-PANEL   2236.984mil   1067.937mil   2236.984mil   1067.937mil   2236.984mil   1067.937mil  T         45.00 FIDUCIAL       
J2         644456-2           2639.64mil    646.864mil   2658.252mil    616.327mil    2664.64mil    603.562mil  T        120.00 644456-2       
R5         R0805             3079.039mil    518.866mil   3079.039mil    518.866mil   3042.622mil    518.866mil  T          0.00 2.7K           
R4         R0805             3079.039mil    593.866mil   3079.039mil    593.866mil   3042.622mil    593.866mil  T          0.00 4.7K           
R3         R0805             3295.496mil    506.366mil   3295.496mil    506.366mil   3295.496mil    469.949mil  T         90.00 470            
R2         R0805             2953.496mil    518.866mil   2953.496mil    518.866mil   2917.079mil    518.866mil  T        360.00 2.7K           
R1         R0805             2953.496mil    593.866mil   2953.496mil    593.866mil   2917.079mil    593.866mil  T        360.00 4.7K           
J1         644456-2           2491.64mil    901.864mil   2510.252mil    871.327mil    2516.64mil    858.562mil  T        120.00 644456-2       
C2         C0603             3471.984mil   1587.937mil   3471.984mil   1587.937mil   3445.213mil   1587.937mil  T        360.00 100nF          
C6         C0603             3471.984mil   1651.937mil   3471.984mil   1651.937mil   3445.213mil   1651.937mil  T        360.00 100nF          
Q1         SOT23-3           3131.795mil   1763.681mil   3131.496mil   1761.366mil   3094.094mil   1721.996mil  T        360.00 BSN20BKR       
Q2         SOT23-3           3120.669mil   1498.236mil   3122.984mil   1497.937mil   3162.354mil   1460.535mil  T         90.00 BSN20BKR       
Q3         SOT23-3           3273.795mil   1768.681mil   3273.496mil   1766.366mil   3236.094mil   1726.996mil  T        360.00 BSN20BKR       
R10        R0603             3150.493mil   1869.363mil   3150.496mil   1869.366mil   3177.265mil   1869.363mil  T        180.00 1K             
R6         R0603             3219.493mil   1533.798mil   3219.496mil   1533.795mil   3219.493mil   1507.027mil  T         90.00 1K             
R7         R0603             3107.493mil   1661.338mil   3107.496mil   1661.341mil   3134.265mil   1661.338mil  T        180.00 1K             
R8         R0603             3106.981mil   1594.934mil   3106.984mil   1594.937mil   3133.753mil   1594.934mil  T        180.00 1K             
R9         R0603             3067.493mil   1853.369mil   3067.496mil   1853.366mil   3067.493mil   1826.598mil  T         90.00 1K             
C7         C0805             2975.984mil   1499.638mil   2975.984mil   1499.937mil   2975.984mil   1537.339mil  T        270.00 10uF           
C8         C0603             2775.984mil   1347.937mil   2775.984mil   1347.937mil   2749.213mil   1347.937mil  T        360.00 22uF           
U3         SOT89-150P347X160-3L   2887.213mil   1477.524mil   2828.157mil   1477.524mil   2885.244mil   1418.468mil  T        180.00 AZ1117CR-3.3TRG1
R11        R0603             3280.981mil   1607.369mil   3280.984mil   1607.366mil   3280.981mil   1580.598mil  T         90.00 1K             
R12        R0603             3280.981mil   1502.369mil   3280.984mil   1502.366mil   3280.981mil   1475.598mil  T         90.00 R0603TBD       
U1         LGA12C50P4X4_200X200X100   3364.984mil   1597.937mil   3364.984mil   1597.937mil   3335.457mil   1626.992mil  T          0.00 IIS2DHTR       
Hole1      Hole_Hole(Primary)   4589.622mil   1424.866mil   4589.622mil   1424.866mil   4589.622mil   1424.866mil  T          0.00                
Hole2      Hole_Hole_1(Primary)   5817.622mil   1424.866mil   5817.622mil   1424.866mil   5817.622mil   1424.866mil  T          0.00                
Hole3      Hole_Hole_2(Primary)   5203.622mil    361.866mil   5203.622mil    361.866mil   5203.622mil    361.866mil  T          0.00                
Pad9       PAD               4721.622mil   1201.866mil   4721.622mil   1201.866mil   4721.622mil   1201.866mil  T          0.00                
Pad10      PAD               5687.622mil   1201.866mil   5687.622mil   1201.866mil   5687.622mil   1201.866mil  T          0.00                
Pad11      PAD_0.1-HOTEND    5203.622mil   1070.866mil   5203.622mil   1070.866mil   5203.622mil   1070.866mil  T          0.00                
Pad12      Pad_0.1_-_oct     5059.622mil    349.866mil   5059.622mil    349.866mil   5059.622mil    349.866mil  T          0.00                
Pad13      PAD               5347.622mil    349.866mil   5347.622mil    349.866mil   5347.622mil    349.866mil  T          0.00                
LED4       LED1206           5933.504mil      530.4mil   5933.504mil      530.4mil   5902.008mil    475.847mil  T        240.00 APT3216SURCK   
LED3       LED1206           4478.504mil      531.4mil   4478.504mil      531.4mil       4510mil    476.847mil  T        300.00 APT3216SURCK   
LED2       LED1206           6036.504mil      708.4mil   6036.504mil      708.4mil   6005.008mil    653.847mil  T        240.00 APT3216VBC/D   
LED1       LED1206           4376.504mil      711.4mil   4376.504mil      711.4mil       4408mil    656.847mil  T        300.00 APT3216VBC/D   
J3         1778612           5776.685mil    734.292mil   5776.685mil    734.292mil   5604.441mil    435.957mil  T         60.00 1778612        
U2         SOT89-150P347X160-3L   5012.512mil   1678.508mil   4953.457mil   1678.508mil   5010.543mil   1619.453mil  T        180.00 L78L05ABUTR    
